광역시도,기초지자체,아프리카 국가,아프리카 지자체,교류연도,교류유형,주요내용
인천광역시,본청,카메룬,,2017,행정 인적교류,인천시  재난경감계획 수립을 위한 국제워크숍 진행
인천광역시,본청,잠비아,루사카시,2014,행정 인적교류,루사카시 시장 일행  2014 인천아시아경기대회 조직위원회 김영수 위원장과 면담
인천광역시,본청,잠비아,루사카시,2013,행정 인적교류,송영길 인천시장  잠비아 루사카시 시장과 우호 협력증진 협의
인천광역시,본청,잠비아,루사카시,2013,협약체결,인천시_잠비아 수도 루사카시 간 자매결연 MOU 체결
인천광역시,본청,케냐,나이로비시,2009,협약체결,인천시_나이로비시 간 우호도시 양해각서 체결
인천광역시,본청,이집트,알렉산드리아주,2007,협약체결,인천광역시의회 산업위원회  이집트 알렉산드리아주 방문
인천광역시,본청,이집트,알렉산드리아주,2000,협약체결,인천광역시_알렉산드리아주 자매결연 체결
인천광역시,본청,이집트,알렉산드리아주,1995,협약체결,인천광역시_이집트 알렉산드리아주 자매결연 의향 서한 교환
광주광역시,본청,카메룬,바멘다시,2019,기술 학술 정보교류,광주시  도시환경협약(UEA) 집행위원회 개최
광주광역시,본청,가나,,2019,행정 인적교류,광주광역시 문화경제부시장  가나 에너지부 차관 접견
광주광역시,본청,세네갈,,2018,행정 인적교류,광주시  아프리카 5개국 연수단 초청 선진 지방행정사례 공유
광주광역시,본청,우간다,,2018,행정 인적교류,광주시  아프리카 5개국 연수단 초청 선진 지방행정사례 공유
광주광역시,본청,카메룬,,2018,행정 인적교류,광주시  아프리카 5개국 연수단 초청 선진 지방행정사례 공유
광주광역시,본청,코트디부아르,,2018,행정 인적교류,광주시  아프리카 5개국 연수단 초청 선진 지방행정사례 공유
광주광역시,본청,콩고공화국,,2018,행정 인적교류,광주시  아프리카 5개국 연수단 초청 선진 지방행정사례 공유
광주광역시,본청,베냉,아보메이시,2015,행정 인적교류,아보메이 시장단  광주상의 방문
광주광역시,본청,남아프리카공화국,,2014,기타,광주시  주한 남아공 대사관과 제5회 국제 넬슨 만델라의 날 기념행사 개최
광주광역시,본청,이집트,,2014,경제통상교류,광주시  광주소재 중소기업 대상 아프리카 무역사절단 운영
광주광역시,본청,카메룬,,2014,경제통상교류,광주시  광주소재 중소기업 대상 아프리카 무역사절단 운영
광주광역시,본청,남아프리카공화국,,2014,경제통상교류,광주시  아프리카 무역사절단 운영
광주광역시,본청,베냉,아보메이시,2014,기타,광주시  베냉 아보메이시에 물품 지원
광주광역시,본청,베냉,아보메이시,2013,행정 인적교류,베냉 그렐레 전 시장  광주 방문
광주광역시,본청,베냉,아보메이시,2010,협약체결,베냉 아보메이 시장이 광주를 방문해 우호교류협정 체결
대전광역시,본청,케냐,,2020,행정 인적교류,대전시  케냐 유엔 해비타트 본부에 청년 코디네이터 파견
대전광역시,본청,남아프리카공화국,나탈주더반시,2019,행정 인적교류,대전시_남아공 더반시 교류협력 강화방안 논의
대전광역시,본청,케냐,,2019,관광교류,대전시  케냐 아마니합창단 초청 팸투어 진행
대전광역시,본청,케냐,,2018,경제통상교류,대전시  케냐 및 중동 국가에 2018년 중동·아프리카 방산무역사절단 파견
대전광역시,본청,케냐,,2017,경제통상교류,대전시  케냐 및 중동 국가에 2018년 중동·아프리카 방산무역사절단 파견
대전광역시,본청,이집트,,2015,기술 학술 정보교류,대전시  이집트 과학단지 건설에 참여
대전광역시,본청,이집트,,2014,협약체결,대전시  대한상공회의소_이노비즈협회_이집트 과학단지(SRTA_CITY)와 함께 MOU 체결
대전광역시,본청,남아프리카공화국,나탈주더반시,2012,스포츠교류,대전시  2012 대전 자매우호 5개 도시 청소년 축구교류대회 개최
대전광역시,본청,남아프리카공화국,나탈주더반시,2011,협약체결,대전시_남아공 더반시 자매결연 협정 체결
대전광역시,본청,이집트,,2010,협약체결,대전시  무바라크 과학단지 투자지역 마스터플랜 수립을 위한 MOA 체결
대전광역시,본청,세이셸,빅토리아시,2010,행정 인적교류,박성효 대전시장  세이셸 대통령 예방
대전광역시,본청,세이셸,빅토리아시,2009,협약체결,대전시_세이셸 빅토리아시 우호교류협정 체결
대전광역시,본청,이집트,,2008,협약체결,대전시  이집트와 과학기술교류협력 의향서 체결
대전광역시,본청,남아프리카공화국,나탈주더반시,2007,행정 인적교류,남아공 더반시 시장  대전시 방문
대전광역시,본청,남아프리카공화국,나탈주더반시,2007,협약체결,대전시  더반시와 국제교류협력 의향서(LOI) 서명
대전광역시,본청,알제리,,2007,행정 인적교류,알제리 국토개발환경부장관 일행 대전 방문
대전광역시,본청,알제리,,2006,행정 인적교류,대전_알제리 간 경제협력방안 논의
대전광역시,본청,알제리,,2005,경제통상교류,대전시  알제리 시장개척 경제협력단 파견
대전광역시,본청,알제리,,2005,협약체결,대전시_알제시 교류협력의향서 체결
대전광역시,본청,알제리,,2003,행정 인적교류,알제리 대통령(Abdelaziz Bouteflika)  대전 방문
대전광역시,본청,알제리,,2003,행정 인적교류,알제리 과학기술신도시 개발청장(Hamidi Liess) 등 3명  대전 방문
울산광역시,본청,가나,,2019,행정 인적교류,울산시장  주한 가나 대사와 경제교류 확대 논의
울산광역시,울주군,케냐,,2016,기타,울주군  케냐에 의류 전달
울산광역시,울주군,케냐,,2015,기타,울주군  아프리카에 T셔츠 보내기 행사
울산광역시,본청,이집트,,2015,경제통상교류,울산시  이집트 카이로 및 중동 국가에 무역사절단 파견
울산광역시,본청,남아프리카공화국,,2011,경제통상교류,울산시  요하네스버그(남아프리카공화국)에 무역사절단 파견
