연도,지역,금액원,금액달러
2020,아프리카,154040527857,130528710
2020,오세아니아,8920461695,7558889
2020,중남미,66358162816,56229615
2020,중동,13065873321,11071576
2021,국제기구,54142025793,47308083
2021,기타,119558023731,104467109
2021,동구 및 CIS,36059912033,31508342
2021,아시아,235079156984,205406874
2021,아프리카,169993953791,148536889
2021,오세아니아,8131538322,7105156
2021,중남미,81124026322,70884349
2021,중동,23679323733,20690462
2022,국제기구,54974527230,42569432
2022,기타,132553445634,102642536
2022,동구 및 CIS,30999627265,24004495
2022,아시아,253851651295,196569596
2022,아프리카,218288410815,169031261
2022,오세아니아,9805921565,7593198
2022,중남미,76675263458,59373336
2022,중동,27822070546,21543967
2023,국제기구,53247650305,40771219
2023,기타,139373562320,106717014
2023,동구 및 CIS,52789978157,40420809
2023,아시아,277469183366,212455606
2023,아프리카,269327090183,206221299
2023,오세아니아,13171741869,10085485
2023,중남미,108087235180,82761411
2023,중동,42424350286,32483923
